"start","end","height","cover_type","cover_type_sub","genus","species","site","line","site_line","date","line_length"
7.81,9.4,7,"shrub","broadleaf_shrub","Illex","","O-4","L3","O-4L3",2024-06-21,1.59
9.95,11,4,"grass","bluestem","","","O-4","L3","O-4L3",2024-06-21,1.05
14.4,15.3,6.5,"shrub","broadleaf_shrub","Illex","","O-4","L3","O-4L3",2024-06-21,0.9
19.2,20,9,"shrub","broadleaf_shrub","Illex","","O-4","L3","O-4L3",2024-06-21,0.800000000000001
0,0.4,5,"shrub","broadleaf_shrub","Persea","","O-4","L2","O-4L2",2024-06-21,0.4
0.5,1.2,11,"shrub","broadleaf_shrub","Illex","","O-4","L2","O-4L2",2024-06-21,0.7
1.21,3.3,12,"shrub","saw_palmetto","","","O-4","L2","O-4L2",2024-06-21,2.09
3.31,3.75,8,"shrub","broadleaf_shrub","Illex","","O-4","L2","O-4L2",2024-06-21,0.44
4.1,4.4,4.5,"shrub","broadleaf_shrub","Illex","","O-4","L2","O-4L2",2024-06-21,0.300000000000001
4.41,4.8,4,"forb","fern","","","O-4","L2","O-4L2",2024-06-21,0.39
4.81,5.3,6,"shrub","broadleaf_shrub","Illex","","O-4","L2","O-4L2",2024-06-21,0.49
5.31,5.7,3,"forb","forb_other","","","O-4","L2","O-4L2",2024-06-21,0.390000000000001
5.8,6.55,8,"shrub","saw_palmetto","","","O-4","L2","O-4L2",2024-06-21,0.75
6.95,7.3,5,"grass","bluestem","","","O-4","L2","O-4L2",2024-06-21,0.35
7.5,9,5,"shrub","broadleaf_shrub","Illex","","O-4","L2","O-4L2",2024-06-21,1.5
9.3,9.65,3,"grass","bluestem","","","O-4","L2","O-4L2",2024-06-21,0.35
9.8,10.2,5,"grass","bluestem","","","O-4","L2","O-4L2",2024-06-21,0.399999999999999
10.55,11.9,8,"shrub","broadleaf_shrub","Illex","","O-4","L2","O-4L2",2024-06-21,1.35
11.91,13,12,"shrub","saw_palmetto","","","O-4","L2","O-4L2",2024-06-21,1.09
13.2,14.35,8,"shrub","saw_palmetto","","","O-4","L2","O-4L2",2024-06-21,1.15
14.36,15.05,5.5,"shrub","broadleaf_shrub","Illex","","O-4","L2","O-4L2",2024-06-21,0.690000000000001
15.3,15.7,4,"shrub","saw_palmetto","","","O-4","L2","O-4L2",2024-06-21,0.399999999999999
15.71,16.2,5,"shrub","broadleaf_shrub","Illex","","O-4","L2","O-4L2",2024-06-21,0.489999999999998
16.21,16.45,5,"shrub","broadleaf_shrub","Gaylussacia","","O-4","L2","O-4L2",2024-06-21,0.239999999999998
16.46,16.9,5,"shrub","broadleaf_shrub","Illex","","O-4","L2","O-4L2",2024-06-21,0.439999999999998
16.95,17.35,7,"shrub","saw_palmetto","","","O-4","L2","O-4L2",2024-06-21,0.400000000000002
17.4,18.25,5,"shrub","broadleaf_shrub","Gaylussacia","","O-4","L2","O-4L2",2024-06-21,0.850000000000001
18.2,19.8,5,"shrub","broadleaf_shrub","Gaylussacia","","O-4","L2","O-4L2",2024-06-21,1.6
0.95,1.4,5,"grass","bluestem","","","O-4","L1","O-4L1",2024-06-21,0.45
1.45,2.7,7,"shrub","broadleaf_shrub","Illex","","O-4","L1","O-4L1",2024-06-21,1.25
2.9,3.3,6,"shrub","broadleaf_shrub","Illex","","O-4","L1","O-4L1",2024-06-21,0.4
3.31,3.51,5,"grass","bluestem","","","O-4","L1","O-4L1",2024-06-21,0.2
4.4,4.7,6.5,"shrub","broadleaf_shrub","Illex","","O-4","L1","O-4L1",2024-06-21,0.3
5.65,7,6,"grass","bluestem","","","O-4","L1","O-4L1",2024-06-21,1.35
7.6,8.7,6,"shrub","broadleaf_shrub","Illex","","O-4","L1","O-4L1",2024-06-21,1.1
8.7,9.1,5,"grass","grass_other","","","O-4","L1","O-4L1",2024-06-21,0.4
9.15,9.4,4,"shrub","broadleaf_shrub","Illex","","O-4","L1","O-4L1",2024-06-21,0.25
9.41,9.65,5,"grass","bluestem","","","O-4","L1","O-4L1",2024-06-21,0.24
10.15,11.8,5.5,"shrub","broadleaf_shrub","Illex","","O-4","L1","O-4L1",2024-06-21,1.65
11.9,13.3,7,"shrub","broadleaf_shrub","Illex","","O-4","L1","O-4L1",2024-06-21,1.4
13.31,14.3,3,"forb","forb_other","","","O-4","L1","O-4L1",2024-06-21,0.99
14.31,15.05,5,"shrub","broadleaf_shrub","Illex","","O-4","L1","O-4L1",2024-06-21,0.74
15.4,16.7,10,"shrub","saw_palmetto","","","O-4","L1","O-4L1",2024-06-21,1.3
16.71,17.1,4,"forb","fern","","","O-4","L1","O-4L1",2024-06-21,0.390000000000001
17.11,17.35,5,"grass","bluestem","","","O-4","L1","O-4L1",2024-06-21,0.240000000000002
17.6,17.9,6,"shrub","broadleaf_shrub","Illex","","O-4","L1","O-4L1",2024-06-21,0.299999999999997
18.1,19.45,8,"shrub","broadleaf_shrub","Illex","","O-4","L1","O-4L1",2024-06-21,1.35
19.6,20,7,"grass","bluestem","","","O-4","L1","O-4L1",2024-06-21,0.399999999999999
0,0.85,3,"shrub","broadleaf_shrub","Quercus","","O-3","L4","O-3L4",2024-06-21,0.85
0.86,1.15,6,"shrub","broadleaf_shrub","Lyonia","","O-3","L4","O-3L4",2024-06-21,0.29
1.16,1.5,4,"shrub","broadleaf_shrub","Gaylussacia","","O-3","L4","O-3L4",2024-06-21,0.34
1.51,2.5,11,"shrub","saw_palmetto","","","O-3","L4","O-3L4",2024-06-21,0.99
2.6,3.6,4,"shrub","broadleaf_shrub","Mix","Illex/Vaccinium/lyonia","O-3","L4","O-3L4",2024-06-21,1
4.5,5,7.5,"shrub","broadleaf_shrub","Lyonia","","O-3","L4","O-3L4",2024-06-21,0.5
5.45,6.1,7,"shrub","saw_palmetto","","","O-3","L4","O-3L4",2024-06-21,0.649999999999999
6.4,7.05,2,"shrub","broadleaf_shrub","Quercus","","O-3","L4","O-3L4",2024-06-21,0.649999999999999
7.8,8.3,7,"shrub","saw_palmetto","","","O-3","L4","O-3L4",2024-06-21,0.500000000000001
8.55,9.7,8,"shrub","broadleaf_shrub","Illex","","O-3","L4","O-3L4",2024-06-21,1.15
9.71,10.15,6,"shrub","broadleaf_shrub","Gaylussacia","","O-3","L4","O-3L4",2024-06-21,0.44
10.16,12,9,"shrub","saw_palmetto","","","O-3","L4","O-3L4",2024-06-21,1.84
12.11,12.6,4,"shrub","broadleaf_shrub","Illex","","O-3","L4","O-3L4",2024-06-21,0.49
12.61,12.9,2,"shrub","broadleaf_shrub","Quercus","","O-3","L4","O-3L4",2024-06-21,0.290000000000001
13,15.05,7,"shrub","saw_palmetto","","","O-3","L4","O-3L4",2024-06-21,2.05
15.06,15.5,2.5,"shrub","broadleaf_shrub","Quercus","","O-3","L4","O-3L4",2024-06-21,0.44
15.6,16.2,2.5,"shrub","broadleaf_shrub","Vaccinium","","O-3","L4","O-3L4",2024-06-21,0.6
16.55,16.9,5,"grass","bluestem","","","O-3","L4","O-3L4",2024-06-21,0.349999999999998
16.91,17.95,3,"shrub","broadleaf_shrub","Quercus","","O-3","L4","O-3L4",2024-06-21,1.04
18.1,18.4,6,"shrub","broadleaf_shrub","Illex","","O-3","L4","O-3L4",2024-06-21,0.299999999999997
18.5,18.7,3,"shrub","broadleaf_shrub","Quercus","","O-3","L4","O-3L4",2024-06-21,0.199999999999999
18.71,19,8,"shrub","broadleaf_shrub","Illex","","O-3","L4","O-3L4",2024-06-21,0.289999999999999
19.01,19.55,3,"shrub","broadleaf_shrub","Gaylussacia","","O-3","L4","O-3L4",2024-06-21,0.539999999999999
0.4,1.1,5,"forb","forb_other","","","O-3","L3","O-3L3",2024-06-21,0.7
1.11,1.9,9,"shrub","saw_palmetto","","","O-3","L3","O-3L3",2024-06-21,0.79
2.1,3,5,"shrub","broadleaf_shrub","Gaylussacia","","O-3","L3","O-3L3",2024-06-21,0.9
3.01,3.3,4,"shrub","broadleaf_shrub","Vaccinium","","O-3","L3","O-3L3",2024-06-21,0.29
3.5,4,5,"shrub","broadleaf_shrub","Gaylussacia","","O-3","L3","O-3L3",2024-06-21,0.5
4.01,4.25,3.5,"shrub","broadleaf_shrub","Asimina","","O-3","L3","O-3L3",2024-06-21,0.24
4.3,4.65,3.5,"shrub","broadleaf_shrub","Quercus","","O-3","L3","O-3L3",2024-06-21,0.350000000000001
4.75,5.35,3.5,"shrub","broadleaf_shrub","Vaccinium","","O-3","L3","O-3L3",2024-06-21,0.6
5.6,5.8,4,"shrub","broadleaf_shrub","Illex","","O-3","L3","O-3L3",2024-06-21,0.2
5.81,6.15,5,"shrub","broadleaf_shrub","Mix","Illex/Lyonia/Vaccinium/Kalmia","O-3","L3","O-3L3",2024-06-21,0.340000000000001
6.2,6.65,4.5,"shrub","broadleaf_shrub","Quercus","","O-3","L3","O-3L3",2024-06-21,0.45
6.7,6.9,6,"shrub","broadleaf_shrub","Illex","","O-3","L3","O-3L3",2024-06-21,0.2
6.91,7.7,4.5,"shrub","broadleaf_shrub","Vaccinium","","O-3","L3","O-3L3",2024-06-21,0.79
7.71,7.9,3,"shrub","broadleaf_shrub","Illex","","O-3","L3","O-3L3",2024-06-21,0.19
7.91,8.5,3,"shrub","broadleaf_shrub","Quercus","","O-3","L3","O-3L3",2024-06-21,0.59
8.7,9.2,4,"shrub","broadleaf_shrub","Gaylussacia","","O-3","L3","O-3L3",2024-06-21,0.5
9.25,11,8,"shrub","saw_palmetto","","","O-3","L3","O-3L3",2024-06-21,1.75
11.01,12,4,"shrub","broadleaf_shrub","Illex","","O-3","L3","O-3L3",2024-06-21,0.99
12.01,12.25,3.5,"shrub","broadleaf_shrub","Quercus","","O-3","L3","O-3L3",2024-06-21,0.24
12.7,13.35,8,"shrub","saw_palmetto","","","O-3","L3","O-3L3",2024-06-21,0.65
13.36,13.7,6,"shrub","broadleaf_shrub","Illex","","O-3","L3","O-3L3",2024-06-21,0.34
13.71,14.15,8,"shrub","broadleaf_shrub","Lyonia","","O-3","L3","O-3L3",2024-06-21,0.44
14.16,14.4,4,"shrub","broadleaf_shrub","Vaccinium","","O-3","L3","O-3L3",2024-06-21,0.24
14.41,14.85,6,"shrub","broadleaf_shrub","Illex","","O-3","L3","O-3L3",2024-06-21,0.44
14.86,15.5,5,"shrub","broadleaf_shrub","Lyonia","","O-3","L3","O-3L3",2024-06-21,0.640000000000001
15.51,16.8,3.5,"shrub","broadleaf_shrub","Rubus","","O-3","L3","O-3L3",2024-06-21,1.29
16.81,17.3,7,"shrub","saw_palmetto","","","O-3","L3","O-3L3",2024-06-21,0.490000000000002
17.31,17.7,8,"shrub","broadleaf_shrub","Illex","","O-3","L3","O-3L3",2024-06-21,0.390000000000001
17.71,18.1,3,"shrub","broadleaf_shrub","Vaccinium","","O-3","L3","O-3L3",2024-06-21,0.390000000000001
18.11,18.6,8,"shrub","broadleaf_shrub","Illex","","O-3","L3","O-3L3",2024-06-21,0.490000000000002
18.61,18.81,3,"shrub","broadleaf_shrub","Vaccinium","","O-3","L3","O-3L3",2024-06-21,0.199999999999999
18.82,20,9.5,"shrub","saw_palmetto","","","O-3","L3","O-3L3",2024-06-21,1.18
0.6,0.9,3,"shrub","broadleaf_shrub","Quercus","","O-3","L2","O-3L2",2024-06-21,0.3
1.55,2.25,6,"shrub","saw_palmetto","","","O-3","L2","O-3L2",2024-06-21,0.7
2.26,2.55,4,"forb","forb_other","","","O-3","L2","O-3L2",2024-06-21,0.29
3.25,3.8,4,"shrub","broadleaf_shrub","Gaylussacia","","O-3","L2","O-3L2",2024-06-21,0.55
3.81,4.9,8.5,"shrub","saw_palmetto","","","O-3","L2","O-3L2",2024-06-21,1.09
4.91,5.3,5,"shrub","broadleaf_shrub","Illex","","O-3","L2","O-3L2",2024-06-21,0.39
5.4,5.6,4,"shrub","broadleaf_shrub","Quercus","","O-3","L2","O-3L2",2024-06-21,0.199999999999999
5.65,6,4,"shrub","broadleaf_shrub","Illex","","O-3","L2","O-3L2",2024-06-21,0.35
6.01,6.7,8,"shrub","broadleaf_shrub","Lyonia","","O-3","L2","O-3L2",2024-06-21,0.69
6.71,6.95,4.5,"shrub","broadleaf_shrub","Quercus","","O-3","L2","O-3L2",2024-06-21,0.24
6.96,8.1,5,"shrub","broadleaf_shrub","Illex","","O-3","L2","O-3L2",2024-06-21,1.14
8.25,8.7,5,"shrub","broadleaf_shrub","Kahlima","","O-3","L2","O-3L2",2024-06-21,0.449999999999999
8.71,9.25,4,"shrub","broadleaf_shrub","Mix","Illex/Gaylussacia","O-3","L2","O-3L2",2024-06-21,0.539999999999999
9.26,9.9,2.5,"shrub","broadleaf_shrub","Quercus","","O-3","L2","O-3L2",2024-06-21,0.640000000000001
9.91,10.5,7,"shrub","saw_palmetto","","","O-3","L2","O-3L2",2024-06-21,0.59
10.51,10.8,8.5,"shrub","broadleaf_shrub","Illex","","O-3","L2","O-3L2",2024-06-21,0.290000000000001
10.81,11.95,4.5,"shrub","broadleaf_shrub","Quercus","","O-3","L2","O-3L2",2024-06-21,1.14
11.96,13.15,8.5,"shrub","saw_palmetto","","","O-3","L2","O-3L2",2024-06-21,1.19
13.16,13.6,3,"shrub","broadleaf_shrub","Vaccinium","","O-3","L2","O-3L2",2024-06-21,0.44
13.61,14.6,7,"shrub","broadleaf_shrub","Illex","","O-3","L2","O-3L2",2024-06-21,0.99
14.7,15.4,4.5,"shrub","broadleaf_shrub","Gaylussacia","","O-3","L2","O-3L2",2024-06-21,0.700000000000001
15.55,15.8,3.5,"shrub","broadleaf_shrub","Illex","","O-3","L2","O-3L2",2024-06-21,0.25
16.1,16.3,3,"shrub","broadleaf_shrub","Vaccinium","","O-3","L2","O-3L2",2024-06-21,0.199999999999999
16.65,16.85,5.5,"shrub","broadleaf_shrub","Illex","","O-3","L2","O-3L2",2024-06-21,0.200000000000003
17.05,17.3,3,"shrub","broadleaf_shrub","Vaccinium","","O-3","L2","O-3L2",2024-06-21,0.25
17.31,17.7,3,"shrub","broadleaf_shrub","Gaylussacia","","O-3","L2","O-3L2",2024-06-21,0.390000000000001
17.71,18.1,6,"shrub","saw_palmetto","","","O-3","L2","O-3L2",2024-06-21,0.390000000000001
18.8,19.5,10,"shrub","saw_palmetto","","","O-3","L2","O-3L2",2024-06-21,0.699999999999999
19.6,20,2.5,"shrub","broadleaf_shrub","Gaylussacia","","O-3","L2","O-3L2",2024-06-21,0.399999999999999
0,0.9,4,"shrub","broadleaf_shrub","Illex","","O-3","L1","O-3L1",2024-06-21,0.9
0.91,1.65,7.5,"shrub","saw_palmetto","","","O-3","L1","O-3L1",2024-06-21,0.74
1.66,2.1,3,"shrub","broadleaf_shrub","Vaccinium","","O-3","L1","O-3L1",2024-06-21,0.44
2.35,3,6,"shrub","broadleaf_shrub","Lyonia","","O-3","L1","O-3L1",2024-06-21,0.65
3.01,3.55,5,"forb","fern","","","O-3","L1","O-3L1",2024-06-21,0.54
3.56,4,4,"shrub","broadleaf_shrub","Illex","","O-3","L1","O-3L1",2024-06-21,0.44
4.25,4.95,11.05,"shrub","broadleaf_shrub","Lyonia","","O-3","L1","O-3L1",2024-06-21,0.7
5.1,5.4,6.5,"shrub","broadleaf_shrub","Illex","","O-3","L1","O-3L1",2024-06-21,0.300000000000001
5.41,8.5,11.5,"shrub","saw_palmetto","","","O-3","L1","O-3L1",2024-06-21,3.09
8.51,8.85,5,"shrub","broadleaf_shrub","Illex","","O-3","L1","O-3L1",2024-06-21,0.34
8.95,9.2,2.5,"grass","broadleaf_shrub","Illex","","O-3","L1","O-3L1",2024-06-21,0.25
9.21,9.45,4,"shrub","broadleaf_shrub","Illex","","O-3","L1","O-3L1",2024-06-21,0.239999999999998
9.46,9.7,4,"grass","bluestem","","","O-3","L1","O-3L1",2024-06-21,0.239999999999998
10.1,10.6,3,"shrub","broadleaf_shrub","Illex","","O-3","L1","O-3L1",2024-06-21,0.5
10.7,11.05,8,"shrub","saw_palmetto","","","O-3","L1","O-3L1",2024-06-21,0.350000000000001
11.06,12,5,"shrub","broadleaf_shrub","Illex","","O-3","L1","O-3L1",2024-06-21,0.94
12.1,12.55,6,"shrub","broadleaf_shrub","Illex","","O-3","L1","O-3L1",2024-06-21,0.450000000000001
12.7,13.2,4,"grass","grass_other","","","O-3","L1","O-3L1",2024-06-21,0.5
13.21,13.5,4,"shrub","broadleaf_shrub","Illex","","O-3","L1","O-3L1",2024-06-21,0.289999999999999
13.6,13.9,4,"shrub","broadleaf_shrub","Illex","","O-3","L1","O-3L1",2024-06-21,0.300000000000001
13.91,16.1,12,"shrub","saw_palmetto","","","O-3","L1","O-3L1",2024-06-21,2.19
16.15,16.7,3,"shrub","broadleaf_shrub","Quercus","","O-3","L1","O-3L1",2024-06-21,0.550000000000001
16.71,17.1,3.5,"forb","forb_other","","","O-3","L1","O-3L1",2024-06-21,0.390000000000001
17.11,17.8,3,"shrub","broadleaf_shrub","Quercus","","O-3","L1","O-3L1",2024-06-21,0.690000000000001
18.65,19.2,3,"forb","forb_other","","","O-3","L1","O-3L1",2024-06-21,0.550000000000001
19.21,19.45,2,"shrub","broadleaf_shrub","Vaccinium","","O-3","L1","O-3L1",2024-06-21,0.239999999999998
19.46,19.8,2.5,"forb","forb_other","","","O-3","L1","O-3L1",2024-06-21,0.34
0.4,0.95,8,"shrub","saw_palmetto","","","O-2","L4","O-2L4",2024-06-21,0.55
1.2,1.6,5.5,"shrub","broadleaf_shrub","Illex","","O-2","L4","O-2L4",2024-06-21,0.4
2.5,3.2,8,"shrub","broadleaf_shrub","Illex","","O-2","L4","O-2L4",2024-06-21,0.7
3.95,4.45,7.5,"shrub","broadleaf_shrub","Illex","","O-2","L4","O-2L4",2024-06-21,0.5
4.6,4.9,4.5,"shrub","broadleaf_shrub","Illex","","O-2","L4","O-2L4",2024-06-21,0.300000000000001
5.4,5.85,4,"shrub","broadleaf_shrub","Illex","","O-2","L4","O-2L4",2024-06-21,0.449999999999999
6.1,6.3,4,"shrub","broadleaf_shrub","Illex","","O-2","L4","O-2L4",2024-06-21,0.2
6.6,8.15,6,"shrub","broadleaf_shrub","Illex","","O-2","L4","O-2L4",2024-06-21,1.55
8.4,9.6,5.5,"shrub","broadleaf_shrub","Illex","","O-2","L4","O-2L4",2024-06-21,1.2
9.61,10.5,9,"shrub","saw_palmetto","","","O-2","L4","O-2L4",2024-06-21,0.890000000000001
10.51,10.9,4,"shrub","broadleaf_shrub","Illex","","O-2","L4","O-2L4",2024-06-21,0.390000000000001
10.95,11.2,3.5,"shrub","broadleaf_shrub","Gaylussacia","","O-2","L4","O-2L4",2024-06-21,0.25
11.21,12.4,5,"shrub","broadleaf_shrub","Illex","","O-2","L4","O-2L4",2024-06-21,1.19
12.65,13,5,"shrub","broadleaf_shrub","Illex","","O-2","L4","O-2L4",2024-06-21,0.35
13.05,14,12.5,"shrub","saw_palmetto","","","O-2","L4","O-2L4",2024-06-21,0.949999999999999
14.01,15,5,"shrub","broadleaf_shrub","Illex","","O-2","L4","O-2L4",2024-06-21,0.99
15.01,16.5,11,"shrub","saw_palmetto","","","O-2","L4","O-2L4",2024-06-21,1.49
16.6,17.45,10,"shrub","saw_palmetto","","","O-2","L4","O-2L4",2024-06-21,0.849999999999998
17.5,20,4,"shrub","broadleaf_shrub","Illex","","O-2","L4","O-2L4",2024-06-21,2.5
0.55,3.25,6.5,"shrub","broadleaf_shrub","Illex","","O-2","L3","O-2L3",2024-06-21,2.7
3.26,3.8,8,"shrub","saw_palmetto","","","O-2","L3","O-2L3",2024-06-21,0.54
3.81,5.8,5,"shrub","broadleaf_shrub","Illex","","O-2","L3","O-2L3",2024-06-21,1.99
5.81,8.5,11,"shrub","saw_palmetto","","","O-2","L3","O-2L3",2024-06-21,2.69
8.51,9.1,10,"shrub","broadleaf_shrub","Illex","","O-2","L3","O-2L3",2024-06-21,0.59
9.11,9.55,7,"shrub","saw_palmetto","","","O-2","L3","O-2L3",2024-06-21,0.440000000000001
9.56,10,6,"shrub","broadleaf_shrub","Gaylussacia","","O-2","L3","O-2L3",2024-06-21,0.44
10.01,10.35,8,"shrub","broadleaf_shrub","Illex","","O-2","L3","O-2L3",2024-06-21,0.34
10.36,10.6,7,"shrub","saw_palmetto","","","O-2","L3","O-2L3",2024-06-21,0.24
10.61,11.45,5.5,"shrub","broadleaf_shrub","Illex","","O-2","L3","O-2L3",2024-06-21,0.84
13.1,15.6,8,"shrub","broadleaf_shrub","Illex","","O-2","L3","O-2L3",2024-06-21,2.5
15.61,16.7,12.5,"shrub","saw_palmetto","","","O-2","L3","O-2L3",2024-06-21,1.09
16.71,17.8,6.5,"shrub","broadleaf_shrub","Illex","","O-2","L3","O-2L3",2024-06-21,1.09
18.2,18.9,4,"shrub","broadleaf_shrub","Illex","","O-2","L3","O-2L3",2024-06-21,0.699999999999999
18.91,20,3,"grass","bluestem","","","O-2","L3","O-2L3",2024-06-21,1.09
0.9,1.3,4,"shrub","broadleaf_shrub","Vaccinium","","O-2","L2","O-2L2",2024-06-21,0.4
1.55,1.85,4.5,"shrub","saw_palmetto","","","O-2","L2","O-2L2",2024-06-21,0.3
2.4,2.6,4.5,"shrub","broadleaf_shrub","Gaylussacia","","O-2","L2","O-2L2",2024-06-21,0.2
2.8,3.4,6,"shrub","saw_palmetto","","","O-2","L2","O-2L2",2024-06-21,0.6
3.41,3.95,8,"shrub","broadleaf_shrub","Illex","","O-2","L2","O-2L2",2024-06-21,0.54
4.05,4.55,4,"grass","bluestem","","","O-2","L2","O-2L2",2024-06-21,0.5
4.7,6.6,11.5,"shrub","saw_palmetto","","","O-2","L2","O-2L2",2024-06-21,1.9
6.65,7,4.6,"shrub","broadleaf_shrub","Vaccinium","","O-2","L2","O-2L2",2024-06-21,0.35
7,7.2,6,"shrub","broadleaf_shrub","Illex","","O-2","L2","O-2L2",2024-06-21,0.2
7.3,9.5,7,"shrub","broadleaf_shrub","Mix","Illex/Vaccinium/Gaylussacia","O-2","L2","O-2L2",2024-06-21,2.2
9.5,9.8,3,"shrub","broadleaf_shrub","Vaccinium","","O-2","L2","O-2L2",2024-06-21,0.300000000000001
9.8,10.9,6,"shrub","broadleaf_shrub","Illex","","O-2","L2","O-2L2",2024-06-21,1.1
10.95,12.7,11.5,"shrub","saw_palmetto","","","O-2","L2","O-2L2",2024-06-21,1.75
12.71,13,5,"shrub","broadleaf_shrub","Illex","","O-2","L2","O-2L2",2024-06-21,0.289999999999999
13.01,13.3,3.5,"shrub","broadleaf_shrub","Vaccinium","","O-2","L2","O-2L2",2024-06-21,0.290000000000001
13.5,14.1,6.5,"shrub","saw_palmetto","","","O-2","L2","O-2L2",2024-06-21,0.6
14.15,18.4,6.5,"shrub","broadleaf_shrub","Illex","","O-2","L2","O-2L2",2024-06-21,4.25
18.7,20,6,"shrub","broadleaf_shrub","Illex","","O-2","L2","O-2L2",2024-06-21,1.3
0.55,0.8,4,"shrub","broadleaf_shrub","Mix","Illex/Vaccinium","O-2","L1","O-2L1",2024-06-21,0.25
1.15,2.3,8,"shrub","broadleaf_shrub","Illex","","O-2","L1","O-2L1",2024-06-21,1.15
2.45,2.7,3,"shrub","broadleaf_shrub","Vaccinium","","O-2","L1","O-2L1",2024-06-21,0.25
3.1,3.4,5,"grass","bluestem","","","O-2","L1","O-2L1",2024-06-21,0.3
3.95,4.3,4,"forb","forb_other","","","O-2","L1","O-2L1",2024-06-21,0.35
4.5,5.4,10.5,"shrub","saw_palmetto","","","O-2","L1","O-2L1",2024-06-21,0.9
5.41,5.7,9,"shrub","broadleaf_shrub","Illex","","O-2","L1","O-2L1",2024-06-21,0.29
5.71,7,6.5,"grass","bluestem","","","O-2","L1","O-2L1",2024-06-21,1.29
7.05,7.6,6,"shrub","broadleaf_shrub","Illex","","O-2","L1","O-2L1",2024-06-21,0.55
7.8,8,4,"forb","forb_other","","","O-2","L1","O-2L1",2024-06-21,0.2
8.2,9.7,0.42,"shrub","broadleaf_shrub","Illex","","O-2","L1","O-2L1",2024-06-21,1.5
10,10.7,10,"shrub","broadleaf_shrub","Illex","","O-2","L1","O-2L1",2024-06-21,0.699999999999999
10.71,11.4,8,"shrub","saw_palmetto","","","O-2","L1","O-2L1",2024-06-21,0.69
11.41,12.9,11,"shrub","broadleaf_shrub","Illex","","O-2","L1","O-2L1",2024-06-21,1.49
12.91,13.2,3.5,"shrub","broadleaf_shrub","Quercus","","O-2","L1","O-2L1",2024-06-21,0.289999999999999
13.21,13.9,8.5,"shrub","broadleaf_shrub","Illex","","O-2","L1","O-2L1",2024-06-21,0.69
14,14.55,10,"shrub","broadleaf_shrub","Lyonia","","O-2","L1","O-2L1",2024-06-21,0.550000000000001
