sp.codes,how,dist,min,dir,num,site,date,vist,season,sky,wind,noise,time,temp,comment
MODO,S,2,2,N,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
NOCA,S,3,3,N,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
BHNU,C,2,3,E,2,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
RBWO,C,2,3,W,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
RHWO,C,2,4,S,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
PIWO,C,3,5,N,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
RCWO,C,3,7,S,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
COYE,S,2,8,E,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
CONI,C,2,8,E,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
DOWO,C,2,9,W,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
GCFL,C,1,0,W,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
CARW,S,1,0,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
CARW,S,1,0,W,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
COYE,S,1,0,N,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
MODO,S,2,0,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
GCFL,C,2,0,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
NOFL,C,2,0,W,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
BACS,C,2,0,S,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
RBWO,C,2,1,S,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
RHWO,C,2,1,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
RHWO,C,2,1,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
NOMO,S,1,1,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
PIWA,S,2,1,N,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
PIWA,S,1,1,W,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
NOCA,S,1,2,N,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
COYE,S,2,3,W,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
AMCR,C,3,5,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
EATO,C,2,8,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
EATO,C,1,8,S,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
FICR,C,1,8,N,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
NOMO,S,0,0,W,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,MAKE SURE THIS IS CORRECT AND NOT O-3
PIWA,S,0,0,E,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
CARW,S,0,0,W,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
EATO,C,0,0,N,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
RBWO,C,0,0,W,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
CARW,S,0,0,S,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
GCFL,C,1,1,S,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
COYE,S,1,1,E,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
RHWO,C,1,1,W,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
BHNU,C,2,2,S,2,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
WEVI,S,2,2,E,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
NOFL,C,2,2,S,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
RHWO,C,2,2,E,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
EATO,S,1,4,E,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
MODO,S,3,6,W,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
EABL,C,1,6,N,1,O-4,2024-05-06,2,SPRING,1,0,1,8:45,72,
GCFL,C,1,0,W,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
CARW,S,1,0,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
CARW,S,1,0,W,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
COYE,S,1,0,N,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
MODO,S,2,0,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
GCFL,C,2,0,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
NOFL,C,2,0,W,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
BACS,C,2,0,S,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
RBWO,C,2,1,S,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
RHWO,C,2,1,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
RHWO,C,2,1,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
NOMO,S,1,1,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
PIWA,S,2,1,N,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
PIWA,S,1,1,W,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
NOCA,S,1,2,N,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
COYE,S,2,3,W,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
AMCR,C,3,5,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
EATO,C,2,8,E,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
EATO,C,1,8,S,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
FICR,C,1,8,N,1,O-4,2024-04-29,1,SPRING,1,0,1,9:04,69,
RHWO,C,0,0,W,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
RHWO,C,0,0,W,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
BACS,S,3,0,E,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
RHWO,C,1,0,S,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
RHWO,C,1,0,S,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
DOWO,C,2,0,E,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
NOMO,S,1,0,E,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
RBWO,C,2,1,S,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
BRTH,S,1,1,W,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
GCFL,C,1,1,W,3,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
CARW,S,2,2,E,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
WITU,C,3,2,S,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
PIWA,S,1,2,W,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
NOBO,C,2,4,E,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
AMCR,C,3,5,E,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
HBNU,C,1,5,S,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
RCWO,X,1,8,W,1,O-6,2024-04-29,1,SPRING,1,0,1,7:34,61,
MODO,S,3,0,W,1,O-6,2024-05-06,2,SPRING,0,0,0,9:52,74,
CARW,S,3,0,E,1,O-6,2024-05-06,2,SPRING,0,0,0,9:52,74,
RCWO,C,2,0,N,1,O-6,2024-05-06,2,SPRING,0,0,0,9:52,74,
PIWA,S,2,0,W,1,O-6,2024-05-06,2,SPRING,0,0,0,9:52,74,
BHNU,C,2,0,S,1,O-6,2024-05-06,2,SPRING,0,0,0,9:52,74,
COYE,C,2,1,S,1,O-6,2024-05-06,2,SPRING,0,0,0,9:52,74,
BACS,S,3,1,E,1,O-6,2024-05-06,2,SPRING,0,0,0,9:52,74,
RHWO,C,2,2,E,1,O-6,2024-05-06,2,SPRING,0,0,0,9:52,74,
PUMA,C,2,2,S,1,O-6,2024-05-06,2,SPRING,0,0,0,9:52,74,
NOFL,C,3,3,W,1,O-6,2024-05-06,2,SPRING,0,0,0,9:52,74,
RHWO,C,3,3,S,1,O-6,2024-05-06,2,SPRING,0,0,0,9:52,74,
RHWO,C,3,3,W,1,O-6,2024-05-06,2,SPRING,0,0,0,9:52,74,
