sp_code,how,dist,min,count,dir,sex,e_dist,e_time,visit,date,start_time,obs,site,temp,noise,sky,wind,lat,long,comments,aru,site_number,average_shrubs,average_robel
BLGR,S,2,5,1,NE,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
EATO,C,2,5,1,NE,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
CARW,S,1,6,1,SE,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
GCFL,C,1,6,1,S,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
NOMO,X,1,7,1,W,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
NOCA,S,1,9,1,SE,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
EATO,S,0,9,1,NE,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
COYE,S,0,0,1,NW,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
NOMO,S,1,0,1,S,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
CGDO,S,0,0,1,E,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
NOBO,C,1,0,1,W,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
BLJA,C,1,0,1,NE,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
RSHA,C,2,1,1,NE,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
AMCR,C,2,1,1,NE,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
COYE,C,2,0,1,SW,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
WEVI,S,0,3,1,W,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
GCFL,S,1,4,1,N,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
CARW,S,1,4,1,N,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
EATO,S,1,4,1,W,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
NOCA,S,1,5,1,SW,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
GCFL,S,1,9,1,W,,,,1,5/10/23,7:38:00,DW,T-19,70,1,0,0,31.060222,-81.959054,,SMA10471,21,0.5,7.875
EATO,S,1,0,1,NW,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
NOCA,S,0,0,1,NE,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
CARW,S,1,0,1,NE,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
COYE,S,1,0,1,NW,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
NOBO,C,0,0,1,SW,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
NOMO,X,2,1,1,SW,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
CARW,S,2,1,1,NW,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
COYE,S,0,2,1,E,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
AMCR,C,3,2,1,SW,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
BGGN,C,0,3,1,E,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
PIWA,S,2,3,1,NW,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
WEVI,S,2,5,1,NW,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
NOCA,S,0,7,1,SE,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
GCFL,S,2,8,1,NW,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
BLJA,C,2,8,1,E,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
RBWO,C,2,9,1,E,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
MODO,S,3,9,1,S,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
NOMO,S,1,9,1,S,,,,1,5/10/23,8:00:00,DW,T-20,71,2,0,1,31.060411,-81.955798,,SMA10451,23,1.25,7.46875
CONI,X,0,0,1,SW,,,,1,5/10/23,8:22:00,DW,T-22,72,1,0,1,31.063127,-81.955031,,SMA10417,25,1.5,7.78125
BLJA,C,1,0,1,E,,,,1,5/10/23,8:22:00,DW,T-22,72,1,0,1,31.063127,-81.955031,,SMA10417,25,1.5,7.78125
BACS,S,2,0,1,W,,,,1,5/10/23,8:22:00,DW,T-22,72,1,0,1,31.063127,-81.955031,,SMA10417,25,1.5,7.78125
CARW,S,2,0,1,NE,,,,1,5/10/23,8:22:00,DW,T-22,72,1,0,1,31.063127,-81.955031,,SMA10417,25,1.5,7.78125
RBWO,C,1,0,1,NE,,,,1,5/10/23,8:22:00,DW,T-22,72,1,0,1,31.063127,-81.955031,,SMA10417,25,1.5,7.78125
CARW,S,1,0,1,NW,,,,1,5/10/23,8:22:00,DW,T-22,72,1,0,1,31.063127,-81.955031,,SMA10417,25,1.5,7.78125
AMCR,C,3,1,1,NE,,,,1,5/10/23,8:22:00,DW,T-22,72,1,0,1,31.063127,-81.955031,,SMA10417,25,1.5,7.78125
COYE,S,1,1,1,W,,,,1,5/10/23,8:22:00,DW,T-22,72,1,0,1,31.063127,-81.955031,,SMA10417,25,1.5,7.78125
PIWO,C,3,2,1,NE,,,,1,5/10/23,8:22:00,DW,T-22,72,1,0,1,31.063127,-81.955031,,SMA10417,25,1.5,7.78125
AMCR,C,1,4,1,N,,,,1,5/10/23,8:22:00,DW,T-22,72,1,0,1,31.063127,-81.955031,,SMA10417,25,1.5,7.78125
NOCA,S,1,4,1,N,,,,1,5/10/23,8:22:00,DW,T-22,72,1,0,1,31.063127,-81.955031,,SMA10417,25,1.5,7.78125
EATO,C,2,6,1,N,,,,1,5/10/23,8:22:00,DW,T-22,72,1,0,1,31.063127,-81.955031,,SMA10417,25,1.5,7.78125
RBWO,C,1,7,1,SE,,,,1,5/10/23,8:22:00,DW,T-22,72,1,0,1,31.063127,-81.955031,,SMA10417,25,1.5,7.78125
BLGR,S,0,0,1,E,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
EATO,S,0,0,1,N,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
WEVI,S,0,0,1,NW,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
PIWA,S,2,0,1,N,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
CARW,S,2,0,1,S,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
EATO,S,2,1,1,N,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
AMCR,C,3,1,1,N,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
GCFL,C,1,1,1,N,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
BARS,C,1,2,1,SE,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
EATO,C,0,2,1,W,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
MODO,S,2,3,1,SW,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
COYE,S,2,3,1,SW,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
NOBO,C,1,4,1,N,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
WEVI,S,2,4,1,E,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
CEDW,X,1,5,5,N,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
NOCA,S,0,5,1,SW,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
BLGR,S,1,6,1,W,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
EATO,S,1,7,1,S,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
CARW,S,2,8,1,N,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
PIWA,S,0,9,1,NE,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
RBWO,C,1,9,1,SW,,,,1,5/10/23,9:01:00,DW,T-21,75,1,0,1,31.062797,-81.967272,,SMA10422,24,3.25,12.5
MODO,S,1,0,1,SW,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
COYE,S,0,0,1,W,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
AMCR,C,2,0,1,W,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
TUVU,X,3,0,1,SW,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
YBCU,S,2,0,1,W,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
EATO,S,2,0,1,NE,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
WEVI,S,0,1,1,SE,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
COYE,S,0,1,1,NW,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
EATO,S,1,1,1,W,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
PIWA,S,1,2,1,NE,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
PRAW,S,2,4,1,SE,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
NOCA,S,1,4,1,SE,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
COYE,S,1,4,1,W,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
PIWA,S,1,4,1,W,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
COYE,S,2,5,1,N,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
CARW,S,2,6,1,S,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
CARW,S,3,8,1,W,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
RBWO,C,2,9,1,SW,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
SPARROW SP.,C,0,9,1,SE,,,,1,5/10/23,9:27:00,DW,T-2,78,1,0,2,31.067676,-81.968576,,SMA10425,22,1.25,11.59375
AMCR,C,3,0,1,N,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
COYE,S,2,0,1,N,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
CARW,S,2,0,1,W,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
GCFL,S,2,0,1,NE,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
PIWA,S,1,0,1,E,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
PIWA,S,1,1,1,W,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
COYE,S,1,1,1,N,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
BLGR,S,2,2,1,E,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
NOCA,S,1,2,1,E,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
CARW,S,1,2,1,E,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
TUVU,X,3,2,2,N,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
EATO,C,0,3,1,E,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
BLVU,X,3,6,2,N,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
TUVU,X,3,6,1,E,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
PIWO,C,2,6,1,S,,,,1,5/10/23,9:49:00,DW,T-1,80,1,0,2,31.070792,-81.968973,,SMA10428,13,2,7.40625
WEVI,S,0,0,1,NW,,,,1,5/10/23,10:10:00,DW,T-3,81,0,0,1,31.07389,-81.968892,,SMA10465,26,2.25,10.84375
CARW,S,1,0,1,E,,,,1,5/10/23,10:10:00,DW,T-3,81,0,0,1,31.07389,-81.968892,,SMA10465,26,2.25,10.84375
BACS,S,2,0,1,NE,,,,1,5/10/23,10:10:00,DW,T-3,81,0,0,1,31.07389,-81.968892,,SMA10465,26,2.25,10.84375
AMCR,C,1,0,1,S,,,,1,5/10/23,10:10:00,DW,T-3,81,0,0,1,31.07389,-81.968892,,SMA10465,26,2.25,10.84375
NOCA,S,2,0,1,E,,,,1,5/10/23,10:10:00,DW,T-3,81,0,0,1,31.07389,-81.968892,,SMA10465,26,2.25,10.84375
PIWO,C,3,1,1,W,,,,1,5/10/23,10:10:00,DW,T-3,81,0,0,1,31.07389,-81.968892,,SMA10465,26,2.25,10.84375
EATO,C,1,1,1,NE,,,,1,5/10/23,10:10:00,DW,T-3,81,0,0,1,31.07389,-81.968892,,SMA10465,26,2.25,10.84375
GCFL,C,1,2,1,W,,,,1,5/10/23,10:10:00,DW,T-3,81,0,0,1,31.07389,-81.968892,,SMA10465,26,2.25,10.84375
NOPA,S,2,4,1,N,,,,1,5/10/23,10:10:00,DW,T-3,81,0,0,1,31.07389,-81.968892,,SMA10465,26,2.25,10.84375
TUVU,X,3,4,1,NE,,,,1,5/10/23,10:10:00,DW,T-3,81,0,0,1,31.07389,-81.968892,,SMA10465,26,2.25,10.84375
PRAW,S,3,7,1,SE,,,,1,5/10/23,10:10:00,DW,T-3,81,0,0,1,31.07389,-81.968892,,SMA10465,26,2.25,10.84375
EATO,C,2,8,1,W,,,,1,5/10/23,10:10:00,DW,T-3,81,0,0,1,31.07389,-81.968892,,SMA10465,26,2.25,10.84375
RSHA,C,3,8,1,W,,,,1,5/10/23,10:10:00,DW,T-3,81,0,0,1,31.07389,-81.968892,,SMA10465,26,2.25,10.84375
BACS,S,0,0,1,N,,,,1,5/11/23,6:10:00,DW,T-6,68,0,2,0,31.084187,-81.965491,,SMA10395,28,2.75,10.46875
CARW,S,0,0,1,SE,,,,1,5/11/23,6:10:00,DW,T-6,68,0,2,0,31.084187,-81.965491,,SMA10395,28,2.75,10.46875
EATO,S,1,0,1,W,,,,1,5/11/23,6:10:00,DW,T-6,68,0,2,0,31.084187,-81.965491,,SMA10395,28,2.75,10.46875
NOCA,S,0,0,1,NW,,,,1,5/11/23,6:10:00,DW,T-6,68,0,2,0,31.084187,-81.965491,,SMA10395,28,2.75,10.46875
NOCA,S,1,1,1,NE,,,,1,5/11/23,6:10:00,DW,T-6,68,0,2,0,31.084187,-81.965491,,SMA10395,28,2.75,10.46875
CWWI,S,1,2,1,W,,,,1,5/11/23,6:10:00,DW,T-6,68,0,2,0,31.084187,-81.965491,,SMA10395,28,2.75,10.46875
EATO,S,0,2,1,SE,,,,1,5/11/23,6:10:00,DW,T-6,68,0,2,0,31.084187,-81.965491,,SMA10395,28,2.75,10.46875
CARW,S,0,2,1,NE,,,,1,5/11/23,6:10:00,DW,T-6,68,0,2,0,31.084187,-81.965491,,SMA10395,28,2.75,10.46875
CWWI,S,0,5,1,NE,,,,1,5/11/23,6:10:00,DW,T-6,68,0,2,0,31.084187,-81.965491,,SMA10395,28,2.75,10.46875
MODO,S,2,5,1,NE,,,,1,5/11/23,6:10:00,DW,T-6,68,0,2,0,31.084187,-81.965491,,SMA10395,28,2.75,10.46875
EATO,C,0,7,1,S,,,,1,5/11/23,6:10:00,DW,T-6,68,0,2,0,31.084187,-81.965491,,SMA10395,28,2.75,10.46875
MODO,S,1,8,1,NE,,,,1,5/11/23,6:10:00,DW,T-6,68,0,2,0,31.084187,-81.965491,,SMA10395,28,2.75,10.46875
AMCR,C,2,9,1,W,,,,1,5/11/23,6:10:00,DW,T-6,68,0,2,0,31.084187,-81.965491,,SMA10395,28,2.75,10.46875
EATO,C,0,0,1,NE,,,,1,5/11/23,6:39:00,DW,T-14,68,0,2,0,31.086591,-81.958737,,SMA10469,17,2.5,10.21875
PRAW,S,1,0,1,W,,,,1,5/11/23,6:39:00,DW,T-14,68,0,2,0,31.086591,-81.958737,,SMA10469,17,2.5,10.21875
CARW,S,1,0,1,W,,,,1,5/11/23,6:39:00,DW,T-14,68,0,2,0,31.086591,-81.958737,,SMA10469,17,2.5,10.21875
COYE,S,0,0,1,N,,,,1,5/11/23,6:39:00,DW,T-14,68,0,2,0,31.086591,-81.958737,,SMA10469,17,2.5,10.21875
COYE,S,0,0,1,NW,,,,1,5/11/23,6:39:00,DW,T-14,68,0,2,0,31.086591,-81.958737,,SMA10469,17,2.5,10.21875
AMCR,C,2,0,1,W,,,,1,5/11/23,6:39:00,DW,T-14,68,0,2,0,31.086591,-81.958737,,SMA10469,17,2.5,10.21875
CARW,S,1,1,1,NE,,,,1,5/11/23,6:39:00,DW,T-14,68,0,2,0,31.086591,-81.958737,,SMA10469,17,2.5,10.21875
