start,end,height,cover_type,cover_type_sub,genus,species,site,line,site_line,date
15.30,15.70,4.00,shrub,saw_palmetto,,,O-4,L2,O-4L2,2024-06-21
15.71,16.20,5.00,shrub,broadleaf_shrub,Illex,,O-4,L2,O-4L2,2024-06-21
16.21,16.45,5.00,shrub,broadleaf_shrub,Gaylussacia,,O-4,L2,O-4L2,2024-06-21
16.46,16.90,5.00,shrub,broadleaf_shrub,Illex,,O-4,L2,O-4L2,2024-06-21
16.95,17.35,7.00,shrub,saw_palmetto,,,O-4,L2,O-4L2,2024-06-21
17.40,18.25,5.00,shrub,broadleaf_shrub,Gaylussacia,,O-4,L2,O-4L2,2024-06-21
18.20,19.80,5.00,shrub,broadleaf_shrub,Gaylussacia,,O-4,L2,O-4L2,2024-06-21
0.95,1.40,5.00,grass,bluestem,,,O-4,L1,O-4L1,2024-06-21
1.45,2.70,7.00,shrub,broadleaf_shrub,Illex,,O-4,L1,O-4L1,2024-06-21
2.90,3.30,6.00,shrub,broadleaf_shrub,Illex,,O-4,L1,O-4L1,2024-06-21
3.31,3.51,5.00,grass,bluestem,,,O-4,L1,O-4L1,2024-06-21
4.40,4.70,6.50,shrub,broadleaf_shrub,Illex,,O-4,L1,O-4L1,2024-06-21
5.65,7.00,6.00,grass,bluestem,,,O-4,L1,O-4L1,2024-06-21
7.60,8.70,6.00,shrub,broadleaf_shrub,Illex,,O-4,L1,O-4L1,2024-06-21
8.70,9.10,5.00,grass,grass_other,,,O-4,L1,O-4L1,2024-06-21
9.15,9.40,4.00,shrub,broadleaf_shrub,Illex,,O-4,L1,O-4L1,2024-06-21
9.41,9.65,5.00,grass,bluestem,,,O-4,L1,O-4L1,2024-06-21
10.15,11.80,5.50,shrub,broadleaf_shrub,Illex,,O-4,L1,O-4L1,2024-06-21
11.90,13.30,7.00,shrub,broadleaf_shrub,Illex,,O-4,L1,O-4L1,2024-06-21
13.31,14.30,3.00,forb,forb_other,,,O-4,L1,O-4L1,2024-06-21
14.31,15.05,5.00,shrub,broadleaf_shrub,Illex,,O-4,L1,O-4L1,2024-06-21
15.40,16.70,10.00,shrub,saw_palmetto,,,O-4,L1,O-4L1,2024-06-21
16.71,17.10,4.00,forb,fern,,,O-4,L1,O-4L1,2024-06-21
17.11,17.35,5.00,grass,bluestem,,,O-4,L1,O-4L1,2024-06-21
17.60,17.90,6.00,shrub,broadleaf_shrub,Illex,,O-4,L1,O-4L1,2024-06-21
18.10,19.45,8.00,shrub,broadleaf_shrub,Illex,,O-4,L1,O-4L1,2024-06-21
19.60,20.00,7.00,grass,bluestem,,,O-4,L1,O-4L1,2024-06-21
0.00,0.85,3.00,shrub,broadleaf_shrub,Quercus,,O-3,L4,O-3L4,2024-06-21
0.86,1.15,6.00,shrub,broadleaf_shrub,Lyonia,,O-3,L4,O-3L4,2024-06-21
1.16,1.50,4.00,shrub,broadleaf_shrub,Gaylussacia,,O-3,L4,O-3L4,2024-06-21
1.51,2.50,11.00,shrub,saw_palmetto,,,O-3,L4,O-3L4,2024-06-21
2.60,3.60,4.00,shrub,broadleaf_shrub,Mix,Illex/Vaccinium/lyonia,O-3,L4,O-3L4,2024-06-21
4.50,5.00,7.50,shrub,broadleaf_shrub,Lyonia,,O-3,L4,O-3L4,2024-06-21
5.45,6.10,7.00,shrub,saw_palmetto,,,O-3,L4,O-3L4,2024-06-21
6.40,7.05,2.00,shrub,broadleaf_shrub,Quercus,,O-3,L4,O-3L4,2024-06-21
7.80,8.30,7.00,shrub,saw_palmetto,,,O-3,L4,O-3L4,2024-06-21
8.55,9.70,8.00,shrub,broadleaf_shrub,Illex,,O-3,L4,O-3L4,2024-06-21
9.71,10.15,6.00,shrub,broadleaf_shrub,Gaylussacia,,O-3,L4,O-3L4,2024-06-21
10.16,12.00,9.00,shrub,saw_palmetto,,,O-3,L4,O-3L4,2024-06-21
12.11,12.60,4.00,shrub,broadleaf_shrub,Illex,,O-3,L4,O-3L4,2024-06-21
12.61,12.90,2.00,shrub,broadleaf_shrub,Quercus,,O-3,L4,O-3L4,2024-06-21
13.00,15.05,7.00,shrub,saw_palmetto,,,O-3,L4,O-3L4,2024-06-21
15.06,15.50,2.50,shrub,broadleaf_shrub,Quercus,,O-3,L4,O-3L4,2024-06-21
15.60,16.20,2.50,shrub,broadleaf_shrub,Vaccinium,,O-3,L4,O-3L4,2024-06-21
16.55,16.90,5.00,grass,bluestem,,,O-3,L4,O-3L4,2024-06-21
16.91,17.95,3.00,shrub,broadleaf_shrub,Quercus,,O-3,L4,O-3L4,2024-06-21
18.10,18.40,6.00,shrub,broadleaf_shrub,Illex,,O-3,L4,O-3L4,2024-06-21
18.50,18.70,3.00,shrub,broadleaf_shrub,Quercus,,O-3,L4,O-3L4,2024-06-21
18.71,19.00,8.00,shrub,broadleaf_shrub,Illex,,O-3,L4,O-3L4,2024-06-21
19.01,19.55,3.00,shrub,broadleaf_shrub,Gaylussacia,,O-3,L4,O-3L4,2024-06-21
0.40,1.10,5.00,forb,forb_other,,,O-3,L3,O-3L3,2024-06-21
1.11,1.90,9.00,shrub,saw_palmetto,,,O-3,L3,O-3L3,2024-06-21
2.10,3.00,5.00,shrub,broadleaf_shrub,Gaylussacia,,O-3,L3,O-3L3,2024-06-21
3.01,3.30,4.00,shrub,broadleaf_shrub,Vaccinium,,O-3,L3,O-3L3,2024-06-21
3.50,4.00,5.00,shrub,broadleaf_shrub,Gaylussacia,,O-3,L3,O-3L3,2024-06-21
4.01,4.25,3.50,shrub,broadleaf_shrub,Asimina,,O-3,L3,O-3L3,2024-06-21
4.30,4.65,3.50,shrub,broadleaf_shrub,Quercus,,O-3,L3,O-3L3,2024-06-21
4.75,5.35,3.50,shrub,broadleaf_shrub,Vaccinium,,O-3,L3,O-3L3,2024-06-21
5.60,5.80,4.00,shrub,broadleaf_shrub,Illex,,O-3,L3,O-3L3,2024-06-21
5.81,6.15,5.00,shrub,broadleaf_shrub,Mix,Illex/Lyonia/Vaccinium/Kalmia,O-3,L3,O-3L3,2024-06-21
6.20,6.65,4.50,shrub,broadleaf_shrub,Quercus,,O-3,L3,O-3L3,2024-06-21
6.70,6.90,6.00,shrub,broadleaf_shrub,Illex,,O-3,L3,O-3L3,2024-06-21
6.91,7.70,4.50,shrub,broadleaf_shrub,Vaccinium,,O-3,L3,O-3L3,2024-06-21
7.71,7.90,3.00,shrub,broadleaf_shrub,Illex,,O-3,L3,O-3L3,2024-06-21
7.91,8.50,3.00,shrub,broadleaf_shrub,Quercus,,O-3,L3,O-3L3,2024-06-21
8.70,9.20,4.00,shrub,broadleaf_shrub,Gaylussacia,,O-3,L3,O-3L3,2024-06-21
9.25,11.00,8.00,shrub,saw_palmetto,,,O-3,L3,O-3L3,2024-06-21
11.01,12.00,4.00,shrub,broadleaf_shrub,Illex,,O-3,L3,O-3L3,2024-06-21
12.01,12.25,3.50,shrub,broadleaf_shrub,Quercus,,O-3,L3,O-3L3,2024-06-21
12.70,13.35,8.00,shrub,saw_palmetto,,,O-3,L3,O-3L3,2024-06-21
13.36,13.70,6.00,shrub,broadleaf_shrub,Illex,,O-3,L3,O-3L3,2024-06-21
13.71,14.15,8.00,shrub,broadleaf_shrub,Lyonia,,O-3,L3,O-3L3,2024-06-21
14.16,14.40,4.00,shrub,broadleaf_shrub,Vaccinium,,O-3,L3,O-3L3,2024-06-21
14.41,14.85,6.00,shrub,broadleaf_shrub,Illex,,O-3,L3,O-3L3,2024-06-21
14.86,15.50,5.00,shrub,broadleaf_shrub,Lyonia,,O-3,L3,O-3L3,2024-06-21
15.51,16.80,3.50,shrub,broadleaf_shrub,Rubus,,O-3,L3,O-3L3,2024-06-21
16.81,17.30,7.00,shrub,saw_palmetto,,,O-3,L3,O-3L3,2024-06-21
17.31,17.70,8.00,shrub,broadleaf_shrub,Illex,,O-3,L3,O-3L3,2024-06-21
17.71,18.10,3.00,shrub,broadleaf_shrub,Vaccinium,,O-3,L3,O-3L3,2024-06-21
18.11,18.60,8.00,shrub,broadleaf_shrub,Illex,,O-3,L3,O-3L3,2024-06-21
18.61,18.81,3.00,shrub,broadleaf_shrub,Vaccinium,,O-3,L3,O-3L3,2024-06-21
18.82,20.00,9.50,shrub,saw_palmetto,,,O-3,L3,O-3L3,2024-06-21
0.60,0.90,3.00,shrub,broadleaf_shrub,Quercus,,O-3,L2,O-3L2,2024-06-21
1.55,2.25,6.00,shrub,saw_palmetto,,,O-3,L2,O-3L2,2024-06-21
2.26,2.55,4.00,forb,forb_other,,,O-3,L2,O-3L2,2024-06-21
3.25,3.80,4.00,shrub,broadleaf_shrub,Gaylussacia,,O-3,L2,O-3L2,2024-06-21
3.81,4.90,8.50,shrub,saw_palmetto,,,O-3,L2,O-3L2,2024-06-21
4.91,5.30,5.00,shrub,broadleaf_shrub,Illex,,O-3,L2,O-3L2,2024-06-21
5.40,5.60,4.00,shrub,broadleaf_shrub,Quercus,,O-3,L2,O-3L2,2024-06-21
5.65,6.00,4.00,shrub,broadleaf_shrub,Illex,,O-3,L2,O-3L2,2024-06-21
6.01,6.70,8.00,shrub,broadleaf_shrub,Lyonia,,O-3,L2,O-3L2,2024-06-21
6.71,6.95,4.50,shrub,broadleaf_shrub,Quercus,,O-3,L2,O-3L2,2024-06-21
6.96,8.10,5.00,shrub,broadleaf_shrub,Illex,,O-3,L2,O-3L2,2024-06-21
8.25,8.70,5.00,shrub,broadleaf_shrub,Kahlima,,O-3,L2,O-3L2,2024-06-21
8.71,9.25,4.00,shrub,broadleaf_shrub,Mix,Illex/Gaylussacia,O-3,L2,O-3L2,2024-06-21
9.26,9.90,2.50,shrub,broadleaf_shrub,Quercus,,O-3,L2,O-3L2,2024-06-21
9.91,10.50,7.00,shrub,saw_palmetto,,,O-3,L2,O-3L2,2024-06-21
10.51,10.80,8.50,shrub,broadleaf_shrub,Illex,,O-3,L2,O-3L2,2024-06-21
10.81,11.95,4.50,shrub,broadleaf_shrub,Quercus,,O-3,L2,O-3L2,2024-06-21
11.96,13.15,8.50,shrub,saw_palmetto,,,O-3,L2,O-3L2,2024-06-21
13.16,13.60,3.00,shrub,broadleaf_shrub,Vaccinium,,O-3,L2,O-3L2,2024-06-21
13.61,14.60,7.00,shrub,broadleaf_shrub,Illex,,O-3,L2,O-3L2,2024-06-21
14.70,15.40,4.50,shrub,broadleaf_shrub,Gaylussacia,,O-3,L2,O-3L2,2024-06-21
15.55,15.80,3.50,shrub,broadleaf_shrub,Illex,,O-3,L2,O-3L2,2024-06-21
16.10,16.30,3.00,shrub,broadleaf_shrub,Vaccinium,,O-3,L2,O-3L2,2024-06-21
16.65,16.85,5.50,shrub,broadleaf_shrub,Illex,,O-3,L2,O-3L2,2024-06-21
17.05,17.30,3.00,shrub,broadleaf_shrub,Vaccinium,,O-3,L2,O-3L2,2024-06-21
17.31,17.70,3.00,shrub,broadleaf_shrub,Gaylussacia,,O-3,L2,O-3L2,2024-06-21
17.71,18.10,6.00,shrub,saw_palmetto,,,O-3,L2,O-3L2,2024-06-21
18.80,19.50,10.00,shrub,saw_palmetto,,,O-3,L2,O-3L2,2024-06-21
19.60,20.00,2.50,shrub,broadleaf_shrub,Gaylussacia,,O-3,L2,O-3L2,2024-06-21
0.00,0.90,4.00,shrub,broadleaf_shrub,Illex,,O-3,L1,O-3L1,2024-06-21
0.91,1.65,7.50,shrub,saw_palmetto,,,O-3,L1,O-3L1,2024-06-21
1.66,2.10,3.00,shrub,broadleaf_shrub,Vaccinium,,O-3,L1,O-3L1,2024-06-21
2.35,3.00,6.00,shrub,broadleaf_shrub,Lyonia,,O-3,L1,O-3L1,2024-06-21
3.01,3.55,5.00,forb,fern,,,O-3,L1,O-3L1,2024-06-21
3.56,4.00,4.00,shrub,broadleaf_shrub,Illex,,O-3,L1,O-3L1,2024-06-21
4.25,4.95,11.05,shrub,broadleaf_shrub,Lyonia,,O-3,L1,O-3L1,2024-06-21
5.10,5.40,6.50,shrub,broadleaf_shrub,Illex,,O-3,L1,O-3L1,2024-06-21
5.41,8.50,11.50,shrub,saw_palmetto,,,O-3,L1,O-3L1,2024-06-21
8.51,8.85,5.00,shrub,broadleaf_shrub,Illex,,O-3,L1,O-3L1,2024-06-21
8.95,9.20,2.50,grass,broadleaf_shrub,Illex,,O-3,L1,O-3L1,2024-06-21
9.21,9.45,4.00,shrub,broadleaf_shrub,Illex,,O-3,L1,O-3L1,2024-06-21
9.46,9.70,4.00,grass,bluestem,,,O-3,L1,O-3L1,2024-06-21
10.10,10.60,3.00,shrub,broadleaf_shrub,Illex,,O-3,L1,O-3L1,2024-06-21
10.70,11.05,8.00,shrub,saw_palmetto,,,O-3,L1,O-3L1,2024-06-21
11.06,12.00,5.00,shrub,broadleaf_shrub,Illex,,O-3,L1,O-3L1,2024-06-21
12.10,12.55,6.00,shrub,broadleaf_shrub,Illex,,O-3,L1,O-3L1,2024-06-21
12.70,13.20,4.00,grass,grass_other,,,O-3,L1,O-3L1,2024-06-21
13.21,13.50,4.00,shrub,broadleaf_shrub,Illex,,O-3,L1,O-3L1,2024-06-21
13.60,13.90,4.00,shrub,broadleaf_shrub,Illex,,O-3,L1,O-3L1,2024-06-21
13.91,16.10,12.00,shrub,saw_palmetto,,,O-3,L1,O-3L1,2024-06-21
16.15,16.70,3.00,shrub,broadleaf_shrub,Quercus,,O-3,L1,O-3L1,2024-06-21
16.71,17.10,3.50,forb,forb_other,,,O-3,L1,O-3L1,2024-06-21
17.11,17.80,3.00,shrub,broadleaf_shrub,Quercus,,O-3,L1,O-3L1,2024-06-21
18.65,19.20,3.00,forb,forb_other,,,O-3,L1,O-3L1,2024-06-21
19.21,19.45,2.00,shrub,broadleaf_shrub,Vaccinium,,O-3,L1,O-3L1,2024-06-21
19.46,19.80,2.50,forb,forb_other,,,O-3,L1,O-3L1,2024-06-21
0.40,0.95,8.00,shrub,saw_palmetto,,,O-2,L4,O-2L4,2024-06-21
1.20,1.60,5.50,shrub,broadleaf_shrub,Illex,,O-2,L4,O-2L4,2024-06-21
2.50,3.20,8.00,shrub,broadleaf_shrub,Illex,,O-2,L4,O-2L4,2024-06-21
3.95,4.45,7.50,shrub,broadleaf_shrub,Illex,,O-2,L4,O-2L4,2024-06-21
4.60,4.90,4.50,shrub,broadleaf_shrub,Illex,,O-2,L4,O-2L4,2024-06-21
5.40,5.85,4.00,shrub,broadleaf_shrub,Illex,,O-2,L4,O-2L4,2024-06-21
6.10,6.30,4.00,shrub,broadleaf_shrub,Illex,,O-2,L4,O-2L4,2024-06-21
6.60,8.15,6.00,shrub,broadleaf_shrub,Illex,,O-2,L4,O-2L4,2024-06-21
8.40,9.60,5.50,shrub,broadleaf_shrub,Illex,,O-2,L4,O-2L4,2024-06-21
9.61,10.50,9.00,shrub,saw_palmetto,,,O-2,L4,O-2L4,2024-06-21
10.51,10.90,4.00,shrub,broadleaf_shrub,Illex,,O-2,L4,O-2L4,2024-06-21
10.95,11.20,3.50,shrub,broadleaf_shrub,Gaylussacia,,O-2,L4,O-2L4,2024-06-21
11.21,12.40,5.00,shrub,broadleaf_shrub,Illex,,O-2,L4,O-2L4,2024-06-21
12.65,13.00,5.00,shrub,broadleaf_shrub,Illex,,O-2,L4,O-2L4,2024-06-21
13.05,14.00,12.50,shrub,saw_palmetto,,,O-2,L4,O-2L4,2024-06-21
14.01,15.00,5.00,shrub,broadleaf_shrub,Illex,,O-2,L4,O-2L4,2024-06-21
15.01,16.50,11.00,shrub,saw_palmetto,,,O-2,L4,O-2L4,2024-06-21
16.60,17.45,10.00,shrub,saw_palmetto,,,O-2,L4,O-2L4,2024-06-21
17.50,20.00,4.00,shrub,broadleaf_shrub,Illex,,O-2,L4,O-2L4,2024-06-21
0.55,3.25,6.50,shrub,broadleaf_shrub,Illex,,O-2,L3,O-2L3,2024-06-21
3.26,3.80,8.00,shrub,saw_palmetto,,,O-2,L3,O-2L3,2024-06-21
3.81,5.80,5.00,shrub,broadleaf_shrub,Illex,,O-2,L3,O-2L3,2024-06-21
5.81,8.50,11.00,shrub,saw_palmetto,,,O-2,L3,O-2L3,2024-06-21
8.51,9.10,10.00,shrub,broadleaf_shrub,Illex,,O-2,L3,O-2L3,2024-06-21
9.11,9.55,7.00,shrub,saw_palmetto,,,O-2,L3,O-2L3,2024-06-21
9.56,10.00,6.00,shrub,broadleaf_shrub,Gaylussacia,,O-2,L3,O-2L3,2024-06-21
10.01,10.35,8.00,shrub,broadleaf_shrub,Illex,,O-2,L3,O-2L3,2024-06-21
10.36,10.60,7.00,shrub,saw_palmetto,,,O-2,L3,O-2L3,2024-06-21
10.61,11.45,5.50,shrub,broadleaf_shrub,Illex,,O-2,L3,O-2L3,2024-06-21
13.10,15.60,8.00,shrub,broadleaf_shrub,Illex,,O-2,L3,O-2L3,2024-06-21
15.61,16.70,12.50,shrub,saw_palmetto,,,O-2,L3,O-2L3,2024-06-21
16.71,17.80,6.50,shrub,broadleaf_shrub,Illex,,O-2,L3,O-2L3,2024-06-21
18.20,18.90,4.00,shrub,broadleaf_shrub,Illex,,O-2,L3,O-2L3,2024-06-21
18.91,20.00,3.00,grass,bluestem,,,O-2,L3,O-2L3,2024-06-21
0.90,1.30,4.00,shrub,broadleaf_shrub,Vaccinium,,O-2,L2,O-2L2,2024-06-21
1.55,1.85,4.50,shrub,saw_palmetto,,,O-2,L2,O-2L2,2024-06-21
2.40,2.60,4.50,shrub,broadleaf_shrub,Gaylussacia,,O-2,L2,O-2L2,2024-06-21
2.80,3.40,6.00,shrub,saw_palmetto,,,O-2,L2,O-2L2,2024-06-21
3.41,3.95,8.00,shrub,broadleaf_shrub,Illex,,O-2,L2,O-2L2,2024-06-21
4.05,4.55,4.00,grass,bluestem,,,O-2,L2,O-2L2,2024-06-21
4.70,6.60,11.50,shrub,saw_palmetto,,,O-2,L2,O-2L2,2024-06-21
6.65,7.00,4.60,shrub,broadleaf_shrub,Vaccinium,,O-2,L2,O-2L2,2024-06-21
7.00,7.20,6.00,shrub,broadleaf_shrub,Illex,,O-2,L2,O-2L2,2024-06-21
7.30,9.50,7.00,shrub,broadleaf_shrub,Mix,Illex/Vaccinium/Gaylussacia,O-2,L2,O-2L2,2024-06-21
9.50,9.80,3.00,shrub,broadleaf_shrub,Vaccinium,,O-2,L2,O-2L2,2024-06-21
9.80,10.90,6.00,shrub,broadleaf_shrub,Illex,,O-2,L2,O-2L2,2024-06-21
10.95,12.70,11.50,shrub,saw_palmetto,,,O-2,L2,O-2L2,2024-06-21
12.71,13.00,5.00,shrub,broadleaf_shrub,Illex,,O-2,L2,O-2L2,2024-06-21
13.01,13.30,3.50,shrub,broadleaf_shrub,Vaccinium,,O-2,L2,O-2L2,2024-06-21
13.50,14.10,6.50,shrub,saw_palmetto,,,O-2,L2,O-2L2,2024-06-21
14.15,18.40,6.50,shrub,broadleaf_shrub,Illex,,O-2,L2,O-2L2,2024-06-21
18.70,20.00,6.00,shrub,broadleaf_shrub,Illex,,O-2,L2,O-2L2,2024-06-21
0.55,0.80,4.00,shrub,broadleaf_shrub,Mix,Illex/Vaccinium,O-2,L1,O-2L1,2024-06-21
1.15,2.30,8.00,shrub,broadleaf_shrub,Illex,,O-2,L1,O-2L1,2024-06-21
2.45,2.70,3.00,shrub,broadleaf_shrub,Vaccinium,,O-2,L1,O-2L1,2024-06-21
3.10,3.40,5.00,grass,bluestem,,,O-2,L1,O-2L1,2024-06-21
3.95,4.30,4.00,forb,forb_other,,,O-2,L1,O-2L1,2024-06-21
4.50,5.40,10.50,shrub,saw_palmetto,,,O-2,L1,O-2L1,2024-06-21
5.41,5.70,9.00,shrub,broadleaf_shrub,Illex,,O-2,L1,O-2L1,2024-06-21
5.71,7.00,6.50,grass,bluestem,,,O-2,L1,O-2L1,2024-06-21
7.05,7.60,6.00,shrub,broadleaf_shrub,Illex,,O-2,L1,O-2L1,2024-06-21
7.80,8.00,4.00,forb,forb_other,,,O-2,L1,O-2L1,2024-06-21
8.20,9.70,0.42,shrub,broadleaf_shrub,Illex,,O-2,L1,O-2L1,2024-06-21
10.00,10.70,10.00,shrub,broadleaf_shrub,Illex,,O-2,L1,O-2L1,2024-06-21
10.71,11.40,8.00,shrub,saw_palmetto,,,O-2,L1,O-2L1,2024-06-21
11.41,12.90,11.00,shrub,broadleaf_shrub,Illex,,O-2,L1,O-2L1,2024-06-21
12.91,13.20,3.50,shrub,broadleaf_shrub,Quercus,,O-2,L1,O-2L1,2024-06-21
13.21,13.90,8.50,shrub,broadleaf_shrub,Illex,,O-2,L1,O-2L1,2024-06-21
14.00,14.55,10.00,shrub,broadleaf_shrub,Lyonia,,O-2,L1,O-2L1,2024-06-21
14.80,16.00,10.00,shrub,broadleaf_shrub,Illex,,O-2,L1,O-2L1,2024-06-21
16.10,16.90,11.00,shrub,broadleaf_shrub,Illex,,O-2,L1,O-2L1,2024-06-21
16.91,17.90,12.50,shrub,saw_palmetto,,,O-2,L1,O-2L1,2024-06-21
18.05,20.00,14.00,shrub,saw_palmetto,,,O-2,L1,O-2L1,2024-06-21
0.00,0.30,6.00,shrub,broadleaf_shrub,Rubus,,R-9,L4,R-9L4,2024-06-18
1.30,1.60,3.00,shrub,broadleaf_shrub,Illex,,R-9,L4,R-9L4,2024-06-18
3.90,5.00,3.00,shrub,broadleaf_shrub,Quercus,,R-9,L4,R-9L4,2024-06-18
5.05,5.50,3.50,forb,forb_other,Blackroot,,R-9,L4,R-9L4,2024-06-18
7.50,8.65,4.00,forb,forb_other,,,R-9,L4,R-9L4,2024-06-18
9.20,9.90,4.00,forb,forb_other,,,R-9,L4,R-9L4,2024-06-18
10.80,11.25,4.50,shrub,broadleaf_shrub,Lyonia,,R-9,L4,R-9L4,2024-06-18
11.26,11.60,3.50,forb,forb_other,,,R-9,L4,R-9L4,2024-06-18
11.80,12.20,2.50,forb,forb_other,,,R-9,L4,R-9L4,2024-06-18
12.50,12.70,2.00,grass,bluestem,,,R-9,L4,R-9L4,2024-06-18
12.85,13.20,4.50,grass,bluestem,,,R-9,L4,R-9L4,2024-06-18
13.40,14.50,1.00,shrub,broadleaf_vine,Gelsium,,R-9,L4,R-9L4,2024-06-18
15.15,15.55,4.00,forb,forb_other,,,R-9,L4,R-9L4,2024-06-18
15.70,16.00,4.00,forb,fern,,,R-9,L4,R-9L4,2024-06-18
16.10,16.75,5.00,grass,bluestem,,,R-9,L4,R-9L4,2024-06-18
16.90,17.30,3.00,forb,fern,,,R-9,L4,R-9L4,2024-06-18
17.60,17.80,2.00,forb,forb_other,,,R-9,L4,R-9L4,2024-06-18
18.20,18.50,3.00,forb,fern,,,R-9,L4,R-9L4,2024-06-18
18.60,18.90,4.00,forb,forb_other,,,R-9,L4,R-9L4,2024-06-18
19.00,19.45,4.00,forb,fern,,,R-9,L4,R-9L4,2024-06-18
