ec5_uuid,created_at,uploaded_at,created_by,title,1_Site_name,2_ARU,lat_3_Coordinates,long_3_Coordinates,accuracy_3_Coordinates,UTM_Northing_3_Coordinates,UTM_Easting_3_Coordinates,UTM_Zone_3_Coordinates,4_Average_Tree_Heigh,5_Date,6_Picture_of_ARU,7_Comments
bfaf079d-3666-4650-b50c-2e1423b83262,2024-03-08T17:44:04.000Z,2024-09-26T01:18:07.000Z,danwatson@vt.edu,"M-10 2MA02420",M-10,2MA02420,31.010797,-81.974203,4,3431205,407005,17R,5,08/03/2024,bfaf079d-3666-4650-b50c-2e1423b83262_1709919841.jpg,"SMA10421 had water in it (06/29) - replaced with 2MA02420"
efa06a0e-5443-4cd0-a161-6c22f93ef5c2,2024-03-08T17:21:27.000Z,2024-03-10T01:35:12.000Z,danwatson@vt.edu,"M-7 SMA10448",M-7,SMA10448,31.016703,-81.972813,4,3431859,407143,17R,10,08/03/2024,efa06a0e-5443-4cd0-a161-6c22f93ef5c2_1709918484.jpg,
7da90a26-61d9-41df-8b14-a45f51bcd768,2024-03-08T16:47:42.000Z,2024-03-10T01:35:10.000Z,danwatson@vt.edu,"M-5 SMA10460",M-5,SMA10460,31.026108,-81.964688,4,3432894,407928,17R,15,08/03/2024,7da90a26-61d9-41df-8b14-a45f51bcd768_1709916457.jpg,
754c0f35-a708-4fd8-9612-4e85f1c08894,2024-03-08T16:27:55.000Z,2024-09-26T01:18:09.000Z,danwatson@vt.edu,"M-2 2MA02414",M-2,2MA02414,31.034032,-81.961456,4,3433770,408244,17R,20,21/04/2024,754c0f35-a708-4fd8-9612-4e85f1c08894_1709915269.jpg,"New unit, SMA10425 fried on 04/21/24, replaced with a 2MA. 06/29 - 2MA02429 had water in it - replaced with 2MA02414"
c06c93e4-f3e8-425e-a9b7-43351f4a6f9b,2024-03-08T15:21:45.000Z,2024-03-10T01:35:05.000Z,danwatson@vt.edu,"M-1 SMA10427",M-1,SMA10427,31.039015,-81.960801,4,3434322,408311,17R,10,08/03/2024,c06c93e4-f3e8-425e-a9b7-43351f4a6f9b_1709911250.jpg,"Site’s previous ARU was SMA10463, now has SMA10427 (previously at R-9)"
1fe48182-afb5-4973-be3d-69f44dde375a,2024-03-08T14:21:34.000Z,2024-03-10T01:35:02.000Z,danwatson@vt.edu,"T-14 SMA10469",T-14,SMA10469,31.086597,-81.958733,4,3439594,408554,17R,20,08/03/2024,1fe48182-afb5-4973-be3d-69f44dde375a_1709907689.jpg,
9cfa888e-a891-4a88-b8eb-b2778c9be00e,2024-03-08T13:41:04.000Z,2024-03-10T01:34:59.000Z,danwatson@vt.edu,"T-9 SMA10415",T-9,SMA10415,31.089489,-81.951343,6,3439908,409261,17R,20,08/03/2024,9cfa888e-a891-4a88-b8eb-b2778c9be00e_1709905260.jpg,
7fcb5c52-8a38-4164-8420-ac7a748907a4,2024-03-08T13:14:10.000Z,2024-03-10T01:34:57.000Z,danwatson@vt.edu,"T-6 SMA04922",T-6,SMA04922,31.084235,-81.965491,6,3439337,407907,17R,20,08/03/2024,7fcb5c52-8a38-4164-8420-ac7a748907a4_1709903645.jpg,E
0022d5ff-e40d-488e-8cfa-d70dd217c8a8,2024-03-07T16:55:41.000Z,2024-03-10T01:34:54.000Z,danwatson@vt.edu,"T-19 SMA10471",T-19,SMA10471,31.06024,-81.959085,4,3436673,408495,17R,5,07/03/2024,0022d5ff-e40d-488e-8cfa-d70dd217c8a8_1709830535.jpg,
cb8765e2-fb22-4bea-a9b8-2443cdeed681,2024-03-07T15:46:59.000Z,2024-03-10T01:34:52.000Z,danwatson@vt.edu,"T-4 SMA04862",T-4,SMA04862,31.076082,-81.966803,4,3438435,407774,17R,5,07/03/2024,cb8765e2-fb22-4bea-a9b8-2443cdeed681_1709826413.jpg,E
e6b3d9e3-7236-4b93-aaaf-0c271cdd26e5,2024-03-07T15:17:47.000Z,2024-04-21T16:04:38.000Z,danwatson@vt.edu,"T-1 2MA02414",T-1,2MA02414,31.070864,-81.968951,5,3437858,407564,17R,5,20/04/2024,e6b3d9e3-7236-4b93-aaaf-0c271cdd26e5_1709824656.jpg,"replaced, previously SMA10428, fried"
48d91692-6cc1-480e-8869-5f0626e10f32,2024-03-06T16:43:37.000Z,2024-05-22T00:05:21.000Z,danwatson@vt.edu,"O-1 SMA10424",O-1,SMA10424,30.69883,-82.165012,5,3396804,388429,17R,40,06/03/2024,48d91692-6cc1-480e-8869-5f0626e10f32_1709743413.jpg,"Moved 05/07"
a27959c7-46d3-4a99-9784-c1687d097565,2024-03-06T16:19:33.000Z,2024-04-29T14:26:44.000Z,danwatson@vt.edu,"O-2 2MA02476",O-2,2MA02476,30.704075,-82.163057,5,3397384,388622,17R,40,22/04/2024,a27959c7-46d3-4a99-9784-c1687d097565_1709741967.jpg,"Previously SMA10467"
1cc47bf4-f2ec-43a1-8d61-4ac9c8a7cfce,2024-03-06T16:05:31.000Z,2024-05-22T00:05:24.000Z,danwatson@vt.edu,"O-3 SMA10451",O-3,SMA10451,30.70822,-82.16007,5,3397840,388913,17R,40,06/03/2024,1cc47bf4-f2ec-43a1-8d61-4ac9c8a7cfce_1709741127.jpg,"Moved 05/07"
61a5ab17-e682-463c-85c6-bb026edc8c02,2024-03-06T15:39:39.000Z,2024-03-10T01:34:40.000Z,danwatson@vt.edu,"O-4 SMA10461",O-4,SMA10461,30.707357,-82.146623,5,3397731,390200,17R,60,06/03/2024,61a5ab17-e682-463c-85c6-bb026edc8c02_1709739570.jpg,
98f0b0df-f66d-434e-98c7-a63e9305a291,2024-03-06T14:56:42.000Z,2024-05-22T00:05:18.000Z,danwatson@vt.edu,"O-7 SMA16109",O-7,SMA16109,30.743166,-82.133178,5,3401687,391527,17R,40,06/03/2024,98f0b0df-f66d-434e-98c7-a63e9305a291_1709736995.jpg,"N, updated location (05/07)"
21ce3293-301d-4650-8b18-10eb97f72986,2024-03-06T14:26:28.000Z,2024-03-10T01:34:35.000Z,danwatson@vt.edu,"O-5 SMA04856",O-5,SMA04856,30.736242,-82.120711,5,3400907,392713,17R,50,06/03/2024,21ce3293-301d-4650-8b18-10eb97f72986_1709735181.jpg,E
20788735-0ec2-4287-bef4-f747465a8533,2024-03-06T13:58:06.000Z,2024-03-10T01:34:33.000Z,danwatson@vt.edu,"O-6 SMA04971",O-6,SMA04971,30.73211,-82.123088,5,3400452,392481,17R,40,06/03/2024,20788735-0ec2-4287-bef4-f747465a8533_1709733480.jpg,E
